study_id,figure,panel,point_id,velocity_m_s,heating_beams,laser_power_W,mean_temperature_K,thermal_load_T4,thermal_load_delta_T4,normalized_visibility,visibility_se,digitization_grade,axis_anchor_uncertainty_px,point_uncertainty_px,temperature_uncertainty_K,unheated_visibility_V0,absolute_visibility_estimate,x_pixel,y_pixel,source_url,doi,extraction_method
HACKERMUELLER_2004_THERMAL,Figure 4a,a,0,190.0,16,0.0,1180.0,1.9387777599999996,0.0,1.0,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.47,105.0,110.0,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,1,190.0,16,0.5,1270.0,2.6014464100000003,0.6626686500000007,0.93,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.4371,130.25,131.7,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,2,190.0,16,1.0,1360.0,3.421020160000001,1.4822424000000016,0.88,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.41359999999999997,155.5,147.2,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,3,190.0,16,1.5,1587.5,6.351187524414061,4.412409764414061,0.9,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.423,180.75,141.0,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,4,190.0,16,2.0,1815.0,10.851918350624999,8.913140590625,0.76,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.35719999999999996,206.0,184.4,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,5,190.0,16,2.5,2042.5,17.403967387539062,15.465189627539063,0.6699999999999999,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.31489999999999996,231.25,212.3,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,6,190.0,16,3.0,2270.0,26.55237841,24.61360065,0.61,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.28669999999999995,256.5,230.9,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,7,190.0,16,3.5,2415.0,34.014848450625,32.076070690625,0.5599999999999999,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.26319999999999993,281.75,246.4,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,8,190.0,16,4.0,2560.0,42.94967296,41.0108952,0.4100000000000001,0.04,calibrated_eps_render,3.0,4.0,35.0,0.47,0.19270000000000004,307.0,292.9,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,9,190.0,16,4.5,2705.0,53.53885485062501,51.60007709062501,0.43000000000000005,0.04,calibrated_eps_render,3.0,4.0,35.0,0.47,0.2021,332.25,286.7,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,10,190.0,16,5.0,2850.0,65.97500625,64.03622849000001,0.26000000000000006,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.12220000000000002,357.5,339.4,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,11,190.0,16,5.5,2905.0,71.21714295062498,69.27836519062498,0.25,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.1175,382.75,342.5,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,12,190.0,16,6.0,2960.0,76.76563456,74.8268568,0.13999999999999993,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.06579999999999997,408.0,376.6,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,13,190.0,16,6.5,3015.0,82.63219055062501,80.69341279062502,0.13000000000000003,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.06110000000000001,433.25,379.7,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,14,190.0,16,7.0,3070.0,88.82874000999998,86.88996224999998,0.08000000000000004,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.037600000000000015,458.5,395.2,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,15,190.0,16,7.5,3087.5,90.87153518066405,88.93275742066406,0.030000000000000037,0.025,calibrated_eps_render,3.0,4.0,35.0,0.47,0.014100000000000017,483.75,410.7,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,16,190.0,16,8.0,3105.0,92.949363050625,91.010585290625,0.08000000000000004,0.035,calibrated_eps_render,3.0,4.0,35.0,0.47,0.037600000000000015,509.0,395.2,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,17,190.0,16,8.5,3122.5,95.06262187503907,93.12384411503908,0.05,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.0235,534.25,404.5,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,18,190.0,16,9.5,3140.0,97.21171216000002,95.27293440000003,0.010000000000000073,0.025,calibrated_eps_render,3.0,4.0,35.0,0.47,0.004700000000000034,584.75,416.9,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4a,a,19,190.0,16,10.0,3140.0,97.21171216000002,95.27293440000003,0.030000000000000037,0.03,calibrated_eps_render,3.0,4.0,35.0,0.47,0.014100000000000017,610.0,410.7,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4b,b,0,100.0,10,0.0,1320.0,3.0359577600000005,0.0,1.0,0.03,calibrated_eps_render,3.0,4.0,35.0,0.19,0.19,105.0,470.0,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
HACKERMUELLER_2004_THERMAL,Figure 4b,b,1,100.0,10,1.0,1634.5454545454545,7.138188445062496,4.102230685062495,0.9600000000000001,0.035,calibrated_eps_render,3.0,4.0,35.0,0.19,0.1824,155.5,482.4,https://arxiv.org/abs/quant-ph/0402146,https://doi.org/10.1038/nature02276,calibrated_eps_render_digitization_v2
